id,job_interest
xc1,.NET Developer
xc2,Advance Data Analyst
xc3,AI Researcher
xc4,android architect
xc5,Android Developer
xc6,Android Engineer
xc7,Android Technical developer
xc8,API Developer Specialist
xc9,Application Integration Specialist
xc10,Application Security Specialist
xc11,Artificial Intelligence Engineer
xc12,Back end developer
xc13,Big Data Specialist
xc14,Blockchain Developer
xc15,Business Analyst
xc16,Business Intelligence Specialist
xc17,C++ Developer
xc18,Cloud Administrator
xc19,Cloud Architect
xc20,Cloud Business System Integration Specialist
xc21,Cloud Consultant
xc22,Cloud Developer
xc23,Cloud Security Engineer
xc24,Cloud Solutions Architect
xc25,Cloud Solutions Architect
xc26,Computer Vision Engineering
xc27,Content Management System Specialist
xc28,Cross-Platform Mobile App Security Specialist
xc29,Cybersecurity Analyst
xc30,Cybersecurity Specialist
xc31,Data Analyst
xc32,Data Center Specialist
xc33,Data Integration Specialist
xc34,Data Management Specialist
xc35,Data Mining Specislist
xc36,Data Modeling Specialist
xc37,Data Privacy Officer
xc38,Data Science
xc39,Data Storage Specialist
xc40,Database Administrator
xc41,Database Design
xc42,Deep Learing Engineer
xc43,Dekstop Application Security Specialist
xc44,Design Grafis
xc45,DevOps Engineer
xc46,Digital Identity Management Specialist
xc47,Disaster Recovery Specialist
xc48,E-Commarce Specialist
xc49,Embedded Systems Programmer
xc50,Enterprise System Integration Specialist
xc51,Flutter Developer
xc52,Front end developer
xc53,full stack developer
xc54,Game Developer
xc55,Geospatial Data Analyst
xc56,Hardware Developer
xc57,Identity and Access Management Specialist
xc58,Information Security Management System Specialist
xc59,IoT Specialist
xc60,IT Capacity Planning Specialist
xc61,IT Consultant
xc62,IT Costumer Support Specialist
xc63,IT Insfrastructure Specialist
xc64,IT Project Manager
xc65,IT Support Specialist
xc66,Java Developer
xc67,JavaScript Developer
xc68,Laravel Developer
xc69,Machine Learning Engineer
xc70,Mobile Game Developer
xc71,Natural Language Processing Spesialist
xc72,Network Administrator
xc73,Operating System Specialist
xc74,PHP Developer
xc75,Product Manager
xc76,Python developer
xc77,R Programmer
xc78,Research and Developer Specialist
xc79,Robotic Process Automation Specialist
xc80,Ruby Developer
xc81,Sentiment Analyst Specialist
xc82,SEO Specialist
xc83,Software Developer
xc84,Software Engineer
xc85,Software Quality Assurance Analyst
xc86,Software Tester
xc87,Solution Architect
xc88,System Administrator
xc89,System Design Specialist
xc90,System Integration Specialist
xc91,Technical Writer
xc92,UI/UX designer
xc93,Virtualization Specialist
xc94,Web Analyst
xc95,Web Application Security Specialist
xc96,Web Designer
xc97,Web Developer
xc98,Web Service Integration Specialist
xc99,Windows Application Developer
xc100,Wireless Network Security Specialist
